date,AVAXUSDT,TWTUSDT,AAVEUSDT,ETHUSDT,UNIUSDT,KAVAUSDT,CAKEUSDT,ROSEUSDT,DOTUSDT,ATOMUSDT,ADAUSDT,SUSHIUSDT,FETUSDT,XRPUSDT,AXSUSDT,DUSKUSDT,LTCUSDT,TRXUSDT,DOGEUSDT,LINKUSDT,ZECUSDT,TUSDUSDT,USDCUSDT,ZILUSDT,APEUSDT,SFPUSDT,SHIBUSDT,SNXUSDT,BCHUSDT,RAYUSDT,YFIUSDT,INJUSDT,ACHUSDT,DEXEUSDT,ETCUSDT,FDUSDUSDT,PENDLEUSDT,FILUSDT,1INCHUSDT,FLOKIUSDT,LUNCUSDT,STGUSDT,EURIUSDT,LDOUSDT,FORMUSDT,PENGUUSDT,HOMEUSDT,USD1USDT,XUSDUSDT
2025-01-01,0.0,0.0,0.0,0.056551078305595325,0.03113973173973875,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-02,0.0,0.0,0.0,0.056551078305595325,0.03113973173973875,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03,0.0,0.0,0.0,0.056551078305595325,0.03113973173973875,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-04,0.0,0.0,0.0,0.056551078305595325,0.03113973173973875,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-05,0.0,0.0,0.0,0.056551078305595325,0.03113973173973875,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-06,0.0,0.0,0.0,0.056551078305595325,0.03113973173973875,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-07,0.0,0.0,0.0,0.056551078305595325,0.03113973173973875,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-08,0.0,0.0,0.0,0.056551078305595325,0.03113973173973875,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-09,0.0,0.0,0.0,0.056551078305595325,0.03113973173973875,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-10,0.0,0.0,0.0,0.056551078305595325,0.03113973173973875,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-11,0.0,0.0,0.0,0.056551078305595325,0.03113973173973875,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-12,0.0,0.0,0.0,0.056551078305595325,0.03113973173973875,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-13,0.0,0.0,0.0,0.056551078305595325,0.03113973173973875,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-14,0.0,0.0,0.033546038819867924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.07204429008802282,0.024705083230213226,0.041765829098626334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04740718909028064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-15,0.0,0.0,0.033546038819867924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.07204429008802282,0.024705083230213226,0.041765829098626334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04740718909028064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,0.0,0.0,0.033546038819867924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.07204429008802282,0.024705083230213226,0.041765829098626334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04740718909028064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-17,0.0,0.0,0.033546038819867924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.07204429008802282,0.024705083230213226,0.041765829098626334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04740718909028064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-18,0.0,0.0,0.033546038819867924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.07204429008802282,0.024705083230213226,0.041765829098626334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04740718909028064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-19,0.0,0.0,0.033546038819867924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.07204429008802282,0.024705083230213226,0.041765829098626334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04740718909028064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
